file_name,actress,archetype,situ,max_f0,min_f0,f0_range,f0_dev,sentence_type,,,,
ball_26,Stanwyck,independent,casual_light,307,134,173,56,wh,,,,
ball_27,Stanwyck,independent,casual_light,399,136,263,81,d,,,,
ball_28,Stanwyck,independent,casual_light,433,254,179,39,yn,,,,
ball_30,Stanwyck,independent,casual_light,324,158,166,49,wh,,,,
ball_31,Stanwyck,independent,casual_light,408,185,223,54,d,,,,
ball_32,Stanwyck,independent,casual_light,232,176,56,16,d,,,,
double_1,Stanwyck,femmefatale,casual_mys,182,137,45,11,d,,,,
double_2,Stanwyck,femmefatale,casual_light,293,131,162,31,d,,,,
double_3,Stanwyck,femmefatale,casual_light,230,134,96,22,d,,,,
double_4,Stanwyck,femmefatale,casual_mys,235,161,74,19,yn,,,,
double_5,Stanwyck,femmefatale,casual_light,269,149,120,19,yn,,,,
double_6,Stanwyck,femmefatale,casual_mys,175,152,23,4,yn,,,,
double_7,Stanwyck,femmefatale,confront,201,136,65,17,d,,,,
double_8,Stanwyck,femmefatale,casual_mys,174,137,37,10,d,,,,
double_9,Stanwyck,femmefatale,casual_mys,191,129,62,12,d,,,,
double_10,Stanwyck,femmefatale,casual_mys,161,126,35,7,d,,,,
double_11,Stanwyck,femmefatale,casual_mys,218,145,73,14,d,,,,
double_12,Stanwyck,femmefatale,casual_mys,152,128,24,5,d,,,,
double_13,Stanwyck,femmefatale,casual_mys,156,124,32,5,d,,,,
double_14,Stanwyck,femmefatale,casual_mys,178,116,62,15,d,,,,
double_15,Stanwyck,femmefatale,casual_mys,195,160,35,6,yn,,,,
double_16,Stanwyck,femmefatale,casual_mys,190,150,40,8,yn,,,,
